County ID,County Name,Precinct Code,Precinct Name,School District Code,School District Name,Number of Registered Voters,,,,,,,,,
2,Anoka,1820,FRIDLEY W-3 P-4,14,FRIDLEY,422,,,,,,,,,
2,Anoka,1905,HAM LAKE P-1,11,ANOKA-HENNEPIN,1591,,,,,,,,,
2,Anoka,1910,HAM LAKE P-2,11,ANOKA-HENNEPIN,2166,,,,,,,,,
2,Anoka,1915,HAM LAKE P-3A,11,ANOKA-HENNEPIN,2178,,,,,,,,,
2,Anoka,1920,HAM LAKE P-4A,11,ANOKA-HENNEPIN,1317,,,,,,,,,
2,Anoka,1920,HAM LAKE P-4A,831,FOREST LAKE,793,,,,,,,,,
2,Anoka,1925,HAM LAKE P-5,11,ANOKA-HENNEPIN,1512,,,,,,,,,
2,Anoka,1930,HAM LAKE P-6A,11,ANOKA-HENNEPIN,1940,,,,,,,,,
2,Anoka,2005,HILLTOP P-1,13,COLUMBIA HEIGHTS,287,,,,,,,,,
2,Anoka,2105,LEXINGTON P-1,12,CENTENNIAL,1359,,,,,,,,,
2,Anoka,2205,LINO LAKES P-1,12,CENTENNIAL,108,,,,,,,,,
2,Anoka,2205,LINO LAKES P-1,624,WHITE BEAR LAKE,71,,,,,,,,,
2,Anoka,2205,LINO LAKES P-1,831,FOREST LAKE,1325,,,,,,,,,
2,Anoka,2210,LINO LAKES P-2,12,CENTENNIAL,1154,,,,,,,,,
2,Anoka,2210,LINO LAKES P-2,831,FOREST LAKE,1066,,,,,,,,,
2,Anoka,2215,LINO LAKES P-3,12,CENTENNIAL,1630,,,,,,,,,
2,Anoka,2215,LINO LAKES P-3,831,FOREST LAKE,9,,,,,,,,,
2,Anoka,2220,LINO LAKES P-4,12,CENTENNIAL,2385,,,,,,,,,
2,Anoka,2220,LINO LAKES P-4,624,WHITE BEAR LAKE,10,,,,,,,,,
2,Anoka,2220,LINO LAKES P-4,831,FOREST LAKE,246,,,,,,,,,
2,Anoka,2225,LINO LAKES P-5,12,CENTENNIAL,1311,,,,,,,,,
